,TrialType,ans,bll,lf,ResponseSwitch_mean,ResponseSwitch_std
0,Neutral,0.0,0.2,0.1,0.155,0.36220664832867017
1,Neutral,0.0,0.25,0.1,0.18,0.384508011209746
2,Neutral,0.0,0.3,0.1,0.20166666666666666,0.40157938055512016
3,Neutral,0.0,0.35,0.1,0.16666666666666666,0.3729889499930489
4,Neutral,0.0,0.4,0.1,0.145,0.3523946224758779
5,Neutral,0.0,0.45,0.1,0.15833333333333333,0.3653578604133651
6,Neutral,0.0,0.5,0.1,0.165,0.3714902533677638
7,Neutral,0.0,0.55,0.1,0.11333333333333333,0.3172643219338976
8,Neutral,0.0,0.6,0.1,0.15166666666666667,0.3589967781193247
9,Neutral,0.0,0.65,0.1,0.20333333333333334,0.4028142513500567
10,Neutral,0.0,0.7,0.1,0.15833333333333333,0.3653578604133651
11,Neutral,0.0,0.75,0.1,0.13,0.33658403808135634
12,Neutral,0.0,0.8,0.1,0.13333333333333333,0.34021826769248464
13,Neutral,0.05,0.2,0.1,0.13166666666666665,0.33841014257340135
14,Neutral,0.05,0.25,0.1,0.14333333333333334,0.3507048312850852
15,Neutral,0.05,0.3,0.1,0.11833333333333333,0.323271913573901
16,Neutral,0.05,0.35,0.1,0.15666666666666668,0.3637894907014179
17,Neutral,0.05,0.4,0.1,0.175,0.38028413944205613
18,Neutral,0.05,0.45,0.1,0.16333333333333333,0.369977965624037
19,Neutral,0.05,0.5,0.1,0.16666666666666666,0.372988949993049
20,Neutral,0.05,0.55,0.1,0.165,0.371490253367764
21,Neutral,0.05,0.6,0.1,0.135,0.3420086985977516
22,Neutral,0.05,0.65,0.1,0.125,0.33099485795601447
23,Neutral,0.05,0.7,0.1,0.16,0.36691194305527075
24,Neutral,0.05,0.75,0.1,0.14,0.3472765492650622
25,Neutral,0.05,0.8,0.1,0.155,0.36220664832867044
26,Neutral,0.1,0.2,0.1,0.14666666666666667,0.35406849109015676
27,Neutral,0.1,0.25,0.1,0.16666666666666666,0.3729889499930489
28,Neutral,0.1,0.3,0.1,0.11,0.31315082478752726
29,Neutral,0.1,0.35,0.1,0.16166666666666665,0.36845191941023203
30,Neutral,0.1,0.4,0.1,0.14333333333333334,0.35070483128508484
31,Neutral,0.1,0.45,0.1,0.15833333333333333,0.3653578604133653
32,Neutral,0.1,0.5,0.1,0.17333333333333334,0.378851029288396
33,Neutral,0.1,0.55,0.1,0.15666666666666668,0.3637894907014177
