,HCPID,egs,alpha,r,LL
92,106521_fnca,0.45,0.15,1,-1.8652430975452527
72,106521_fnca,0.35,0.15,1,-1.874078110464706
102,106521_fnca,0.5,0.15,1,-1.8848567978604098
103,106521_fnca,0.5,0.2,1,-1.886431502407893
82,106521_fnca,0.4,0.15,1,-1.8910270629753063
62,106521_fnca,0.3,0.15,1,-1.8918649278529895
81,106521_fnca,0.4,0.1,1,-1.9046587498189236
101,106521_fnca,0.5,0.1,1,-1.9064246581551725
52,106521_fnca,0.25,0.15,1,-1.9077614583076306
71,106521_fnca,0.35,0.1,1,-1.9107785108208968
91,106521_fnca,0.45,0.1,1,-1.9141133480591646
61,106521_fnca,0.3,0.1,1,-1.9257708303277365
41,106521_fnca,0.2,0.1,1,-1.9266747274127125
93,106521_fnca,0.45,0.2,1,-1.926684932585656
90,106521_fnca,0.45,0.05,1,-1.9280502693173553
100,106521_fnca,0.5,0.05,1,-1.9318395537454314
83,106521_fnca,0.4,0.2,1,-1.9387853564461355
40,106521_fnca,0.2,0.05,1,-1.943698188412018
80,106521_fnca,0.4,0.05,1,-1.9467711401556298
70,106521_fnca,0.35,0.05,1,-1.9537342726571132
32,106521_fnca,0.15,0.15,1,-1.9542630695079273
42,106521_fnca,0.2,0.15,1,-1.954462418704091
51,106521_fnca,0.25,0.1,1,-1.954620302232286
50,106521_fnca,0.25,0.05,1,-1.9621484627244605
60,106521_fnca,0.3,0.05,1,-1.9626014525777715
31,106521_fnca,0.15,0.1,1,-1.9731560862516608
30,106521_fnca,0.15,0.05,1,-1.9866625405163458
21,106521_fnca,0.1,0.1,1,-1.9972395021276583
73,106521_fnca,0.35,0.2,1,-2.0044858640449528
22,106521_fnca,0.1,0.15,1,-2.0266808586783265
63,106521_fnca,0.3,0.2,1,-2.0302237249587245
11,106521_fnca,0.05,0.1,1,-2.0373632884814326
12,106521_fnca,0.05,0.15,1,-2.069934651986744
2,106521_fnca,0.0,0.15,1,-2.0728688862366913
104,106521_fnca,0.5,0.25,1,-2.073335880791782
20,106521_fnca,0.1,0.05,1,-2.0854041099370524
53,106521_fnca,0.25,0.2,1,-2.1042270528679357
94,106521_fnca,0.45,0.25,1,-2.1057313214604774
84,106521_fnca,0.4,0.25,1,-2.168755342769624
85,106521_fnca,0.4,0.3,1,-2.181118016034492
74,106521_fnca,0.35,0.25,1,-2.188657131166363
43,106521_fnca,0.2,0.2,1,-2.208480998512046
1,106521_fnca,0.0,0.1,1,-2.2255330271364113
10,106521_fnca,0.05,0.05,1,-2.2391874378734125
13,106521_fnca,0.05,0.2,1,-2.2445771558958802
14,106521_fnca,0.05,0.25,1,-2.249568094308675
4,106521_fnca,0.0,0.25,1,-2.2525404146402574
3,106521_fnca,0.0,0.2,1,-2.252540414640259
95,106521_fnca,0.45,0.3,1,-2.2528875334759584
64,106521_fnca,0.3,0.25,1,-2.25793322081816
23,106521_fnca,0.1,0.2,1,-2.2729041000133714
5,106521_fnca,0.0,0.3,1,-2.2757726568232886
105,106521_fnca,0.5,0.3,1,-2.2785040683998528
106,106521_fnca,0.5,0.35,1,-2.2848209779099617
34,106521_fnca,0.15,0.25,1,-2.29013830592766
54,106521_fnca,0.25,0.25,1,-2.2942292218099336
33,106521_fnca,0.15,0.2,1,-2.300060092336783
