,TrialType,egs,alpha,r,ResponseSwitch_mean,ResponseSwitch_std,HCPID,ResponseSwitch,PSwitch_z,PSwitch_probz,PSwitch_logprobz
110,Punishment,0.0,0.05,1,0.88,0.3250915988427114,109123_fnca,0.32,1.7225914234435324,0.09048247085334234,-2.40259913926528
220,Reward,0.0,0.05,1,0.5016,0.5001975590488853,109123_fnca,0.24,0.522993355860086,0.3479489315688713,-1.05569955834157
111,Punishment,0.0,0.1,1,0.6,0.4900940253900043,109123_fnca,0.32,0.5713189418646415,0.33886916167185926,-1.0821411998713393
221,Reward,0.0,0.1,1,0.1832,0.3869852271764936,109123_fnca,0.24,-0.14677562865751212,0.39466811762886034,-0.9297100757885766
112,Punishment,0.0,0.15,1,0.28,0.4491785937990611,109123_fnca,0.32,-0.08905143867540108,0.3973635745129744,-0.922903612569752
222,Reward,0.0,0.15,1,0.1792,0.3836731996103966,109123_fnca,0.24,-0.15846819653220434,0.3939644438229019,-0.9314946178607573
113,Punishment,0.0,0.2,1,0.2,0.4001600960640447,109123_fnca,0.32,-0.2998799759903953,0.38140154566902296,-0.9639025332046727
223,Reward,0.0,0.2,1,0.1392,0.3462936549178296,109123_fnca,0.24,-0.2910824341379237,0.3823942919074747,-0.961303024936502
114,Punishment,0.0,0.25,1,0.2,0.4001600960640447,109123_fnca,0.32,-0.2998799759903953,0.38140154566902296,-0.9639025332046727
224,Reward,0.0,0.25,1,0.1384,0.3454575411395507,109123_fnca,0.24,-0.29410271278159117,0.3820565150973296,-0.9621867360374182
115,Punishment,0.0,0.3,1,0.2,0.4001600960640447,109123_fnca,0.32,-0.2998799759903953,0.38140154566902296,-0.9639025332046727
225,Reward,0.0,0.3,1,0.1448,0.3520399205836572,109123_fnca,0.24,-0.27042387648015925,0.3846186059125226,-0.9555030696899508
116,Punishment,0.0,0.35,1,0.16,0.3667527860628576,109123_fnca,0.32,-0.4362611712309601,0.3627285799733361,-1.0141004379665772
226,Reward,0.0,0.35,1,0.1376,0.3446175401792532,109123_fnca,0.24,-0.2971409985305348,0.38171351223686917,-0.9630849197085343
117,Punishment,0.0,0.4,1,0.16,0.3667527860628576,109123_fnca,0.32,-0.4362611712309601,0.3627285799733361,-1.0141004379665772
227,Reward,0.0,0.4,1,0.1392,0.3462936549178297,109123_fnca,0.24,-0.29108243413792356,0.3823942919074747,-0.961303024936502
118,Punishment,0.0,0.45,1,0.16,0.3667527860628576,109123_fnca,0.32,-0.4362611712309601,0.3627285799733361,-1.0141004379665772
228,Reward,0.0,0.45,1,0.14,0.3471259096029769,109123_fnca,0.24,-0.2880799077037331,0.38272691881497745,-0.9604335498159684
119,Punishment,0.0,0.5,1,0.16,0.3667527860628576,109123_fnca,0.32,-0.4362611712309601,0.3627285799733361,-1.0141004379665772
229,Reward,0.0,0.5,1,0.1392,0.3462936549178297,109123_fnca,0.24,-0.29108243413792356,0.3823942919074747,-0.961303024936502
120,Punishment,0.05,0.05,1,0.7248,0.4467937552470739,109123_fnca,0.32,0.9060108724575803,0.26464489150183185,-1.3293663837103455
230,Reward,0.05,0.05,1,0.4392,0.4964882279051122,109123_fnca,0.24,0.4012179721571781,0.36809049386719256,-0.9994264637956317
121,Punishment,0.05,0.1,1,0.5424,0.498398395632063,109123_fnca,0.32,0.4462293658027428,0.36113665135837125,-1.0184988566570317
231,Reward,0.05,0.1,1,0.2408,0.4277402592502917,109123_fnca,0.24,0.0018702939054700393,0.39894158265213553,-0.9189402822043191
122,Punishment,0.05,0.15,1,0.2888,0.4533861568307578,109123_fnca,0.32,-0.06881551086185125,0.3979987873855716,-0.9213063204722614
232,Reward,0.05,0.15,1,0.1656,0.3718699635838484,109123_fnca,0.24,-0.20006993649871496,0.3910372234260317,-0.9389525229499726
123,Punishment,0.05,0.2,1,0.2024,0.4019496122558572,109123_fnca,0.32,-0.2925739854306486,0.3822278807854114,-0.9617383016800592
233,Reward,0.05,0.2,1,0.1384,0.3454575411395503,109123_fnca,0.24,-0.2941027127815915,0.3820565150973295,-0.9621867360374183
124,Punishment,0.05,0.25,1,0.1992,0.3995586035391179,109123_fnca,0.32,-0.3023336224774181,0.3811198665967308,-0.9646413428448316
234,Reward,0.05,0.25,1,0.1368,0.3437736235422878,109123_fnca,0.24,-0.30019755133222226,0.38136520558731035,-0.9639978181176038
