,HCPID,Trial,RunNumber,TrialType,RunTrialNumber,Block,CurrentResponse,QuestionMark.ACC,RT,QuestionMark.OnsetDelay,ConsecSameResp,ConsecLargerGuesses,ConsecSmallerGuesses,ConsecRTLess200,FutureResponse,PastResponse,ResponseSwitch,PreviousFeedback,BlockType,BlockTypeCoded
1793,109325_fnca,1,1,Reward,2,5,2.0,0,543,27,1,0,1,0,2.0,,0.0,,MostlyReward,MostlyReward
1794,109325_fnca,2,1,Reward,3,5,2.0,0,806,13,2,0,2,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
1795,109325_fnca,3,1,Punishment,4,5,2.0,0,507,13,3,0,3,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
1796,109325_fnca,4,1,Reward,5,5,2.0,0,488,14,4,0,4,0,2.0,2.0,0.0,Punishment,MostlyReward,MostlyReward
1797,109325_fnca,5,1,Reward,6,5,2.0,0,343,13,5,0,5,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
1798,109325_fnca,6,1,Reward,7,5,2.0,0,353,13,6,0,6,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
1799,109325_fnca,7,1,Neutral,8,5,2.0,0,489,14,7,0,7,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
1801,109325_fnca,10,1,Reward,10,5,2.0,0,1004,14,9,0,9,0,2.0,,0.0,,MostlyPunishment,MostlyPunishment
1802,109325_fnca,11,1,Punishment,11,5,2.0,0,344,14,10,0,10,0,2.0,2.0,0.0,Reward,MostlyPunishment,MostlyPunishment
1803,109325_fnca,12,1,Punishment,12,5,2.0,0,375,13,11,0,11,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
1804,109325_fnca,13,1,Punishment,13,5,2.0,0,458,13,12,0,12,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
1805,109325_fnca,14,1,Neutral,14,5,2.0,0,690,13,13,0,13,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
1806,109325_fnca,15,1,Punishment,15,5,2.0,0,427,13,14,0,14,0,2.0,2.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
1807,109325_fnca,16,1,Punishment,16,5,2.0,0,527,13,15,0,15,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
1809,109325_fnca,19,1,Punishment,18,5,2.0,0,561,13,17,0,17,0,2.0,,0.0,,MostlyPunishment,MostlyPunishment
1810,109325_fnca,20,1,Punishment,19,5,2.0,0,517,14,18,0,18,0,2.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
1811,109325_fnca,21,1,Punishment,20,5,2.0,0,690,13,19,0,19,0,3.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
1812,109325_fnca,22,1,Neutral,21,5,3.0,0,412,13,1,1,0,0,3.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
1813,109325_fnca,23,1,Punishment,22,5,3.0,0,400,13,2,2,0,0,2.0,3.0,1.0,Neutral,MostlyPunishment,MostlyPunishment
1814,109325_fnca,24,1,Neutral,23,5,2.0,0,468,14,1,0,1,0,2.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
1815,109325_fnca,25,1,Punishment,24,5,2.0,0,314,14,2,0,2,0,2.0,2.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
1817,109325_fnca,28,1,Reward,26,5,2.0,0,489,13,4,0,4,0,2.0,,0.0,,MostlyReward,MostlyReward
1818,109325_fnca,29,1,Reward,27,5,2.0,0,369,13,5,0,5,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
1819,109325_fnca,30,1,Punishment,28,5,2.0,0,472,14,6,0,6,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
1820,109325_fnca,31,1,Reward,29,5,2.0,0,436,13,7,0,7,0,2.0,2.0,0.0,Punishment,MostlyReward,MostlyReward
1821,109325_fnca,32,1,Punishment,30,5,2.0,0,454,14,8,0,8,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
1822,109325_fnca,33,1,Reward,31,5,2.0,0,522,13,9,0,9,0,2.0,2.0,0.0,Punishment,MostlyReward,MostlyReward
1823,109325_fnca,34,1,Reward,32,5,2.0,0,460,13,10,0,10,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
1825,109325_fnca,1,2,Punishment,2,5,2.0,0,575,27,1,0,1,0,2.0,,0.0,,,MostlyPunishment
1826,109325_fnca,2,2,Punishment,3,5,2.0,0,429,14,2,0,2,0,2.0,2.0,0.0,Punishment,,MostlyPunishment
1827,109325_fnca,3,2,Reward,4,5,2.0,0,407,14,3,0,3,0,2.0,2.0,0.0,Punishment,,MostlyPunishment
1828,109325_fnca,4,2,Punishment,5,5,2.0,0,451,13,4,0,4,0,2.0,2.0,0.0,Reward,,MostlyPunishment
1829,109325_fnca,5,2,Reward,6,5,2.0,0,469,13,5,0,5,0,2.0,2.0,0.0,Punishment,,MostlyPunishment
1830,109325_fnca,6,2,Punishment,7,5,2.0,0,537,13,6,0,6,0,2.0,2.0,0.0,Reward,,MostlyPunishment
1831,109325_fnca,7,2,Punishment,8,5,2.0,0,423,13,7,0,7,0,2.0,2.0,0.0,Punishment,,MostlyPunishment
1833,109325_fnca,10,2,Reward,10,5,2.0,0,508,14,9,0,9,0,2.0,,0.0,,,MostlyReward
1834,109325_fnca,11,2,Neutral,11,5,2.0,0,369,13,10,0,10,0,2.0,2.0,0.0,Reward,,MostlyReward
1835,109325_fnca,12,2,Reward,12,5,2.0,0,551,13,11,0,11,0,2.0,2.0,0.0,Neutral,,MostlyReward
1836,109325_fnca,13,2,Reward,13,5,2.0,0,490,13,12,0,12,0,2.0,2.0,0.0,Reward,,MostlyReward
1837,109325_fnca,14,2,Reward,14,5,2.0,0,441,13,13,0,13,0,2.0,2.0,0.0,Reward,,MostlyReward
1838,109325_fnca,15,2,Reward,15,5,2.0,0,483,13,14,0,14,0,2.0,2.0,0.0,Reward,,MostlyReward
1839,109325_fnca,16,2,Neutral,16,5,2.0,0,379,14,15,0,15,0,2.0,2.0,0.0,Reward,,MostlyReward
1841,109325_fnca,19,2,Punishment,18,5,2.0,0,881,13,17,0,17,0,2.0,,0.0,,,MostlyPunishment
1842,109325_fnca,20,2,Punishment,19,5,2.0,0,522,13,18,0,18,0,2.0,2.0,0.0,Punishment,,MostlyPunishment
1843,109325_fnca,21,2,Reward,20,5,2.0,0,506,13,19,0,19,0,2.0,2.0,0.0,Punishment,,MostlyPunishment
1844,109325_fnca,22,2,Punishment,21,5,2.0,0,526,13,20,0,20,0,2.0,2.0,0.0,Reward,,MostlyPunishment
1845,109325_fnca,23,2,Reward,22,5,2.0,0,492,13,21,0,21,0,2.0,2.0,0.0,Punishment,,MostlyPunishment
1846,109325_fnca,24,2,Punishment,23,5,2.0,0,400,13,22,0,22,0,2.0,2.0,0.0,Reward,,MostlyPunishment
1847,109325_fnca,25,2,Punishment,24,5,2.0,0,437,14,23,0,23,0,2.0,2.0,0.0,Punishment,,MostlyPunishment
1849,109325_fnca,28,2,Reward,26,5,2.0,0,638,13,25,0,25,0,2.0,,0.0,,MostlyReward,MostlyReward
1850,109325_fnca,29,2,Reward,27,5,2.0,0,365,13,26,0,26,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
1851,109325_fnca,30,2,Punishment,28,5,2.0,0,520,13,27,0,27,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
1852,109325_fnca,31,2,Reward,29,5,2.0,0,495,13,28,0,28,0,2.0,2.0,0.0,Punishment,MostlyReward,MostlyReward
1853,109325_fnca,32,2,Punishment,30,5,2.0,0,440,13,29,0,29,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
1854,109325_fnca,33,2,Reward,31,5,2.0,0,418,14,30,0,30,0,2.0,2.0,0.0,Punishment,MostlyReward,MostlyReward
1855,109325_fnca,34,2,Reward,32,5,2.0,0,579,14,31,0,31,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
