,TrialType,ans,bll,lf,ResponseSwitch_mean,ResponseSwitch_std,HCPID,ResponseSwitch,PSwitch_z,PSwitch_probz,PSwitch_logprobz
143,Punishment,0.0,0.2,0.1,0.172,0.377531487453981,118932_fnca,0.4583333333333333,-0.7584356347713533,0.2992275856061726,-1.2065508392501856
286,Reward,0.0,0.2,0.1,0.1816,0.3856688117360239,118932_fnca,0.52,-0.877436779180429,0.27147473964073326,-1.303886183933935
144,Punishment,0.0,0.25,0.1,0.1824,0.3863284091440458,118932_fnca,0.4583333333333333,-0.7142455144437727,0.30912428669005054,-1.1740118606561976
287,Reward,0.0,0.25,0.1,0.1872,0.3902281158321485,118932_fnca,0.52,-0.8528344998676352,0.2773148223788119,-1.2826018752869126
145,Punishment,0.0,0.3,0.1,0.096,0.2947091494783104,118932_fnca,0.4583333333333333,-1.2294607546957066,0.1873596200829418,-1.6747254068731408
288,Reward,0.0,0.3,0.1,0.0984,0.2979739431168794,118932_fnca,0.52,-1.4148888174246452,0.14662254492674015,-1.9198937160413283
146,Punishment,0.0,0.35,0.1,0.124,0.3297134646553274,118932_fnca,0.4583333333333333,-1.0140117683177887,0.23858050788491597,-1.433048466348157
289,Reward,0.0,0.35,0.1,0.1056,0.3074479783760595,118932_fnca,0.52,-1.3478703037465432,0.16084474258006343,-1.827315711065572
147,Punishment,0.0,0.4,0.1,0.116,0.3203530878276414,118932_fnca,0.4583333333333333,-1.0686125601433814,0.2253940815974624,-1.4899049350527684
290,Reward,0.0,0.4,0.1,0.124,0.3297134646553278,118932_fnca,0.52,-1.201042852204917,0.1939430926859214,-1.6401904996209338
148,Punishment,0.0,0.45,0.1,0.1416,0.3487789520683904,118932_fnca,0.4583333333333333,-0.908120548717133,0.26413894731456244,-1.3312799987058261
291,Reward,0.0,0.45,0.1,0.1584,0.3652617868575233,118932_fnca,0.52,-0.989974897486466,0.24439642436943632,-1.408963682031342
149,Punishment,0.0,0.5,0.1,0.1744,0.3796049524649919,118932_fnca,0.4583333333333333,-0.747970571747265,0.3015955126909615,-1.198668521304638
292,Reward,0.0,0.5,0.1,0.1832,0.3869852271764931,118932_fnca,0.52,-0.8703174600677844,0.27316896007771235,-1.2976647738540925
150,Punishment,0.0,0.55,0.1,0.16,0.3667527860628569,118932_fnca,0.4583333333333333,-0.8134453088577294,0.2865663537400071,-1.2497851684559962
293,Reward,0.0,0.55,0.1,0.1456,0.3528459156517952,118932_fnca,0.52,-1.0610863932161125,0.22720770039204466,-1.481890700138862
151,Punishment,0.0,0.6,0.1,0.14,0.3471259096029769,118932_fnca,0.4583333333333333,-0.9170543728568837,0.2619942047887346,-1.339432894592639
294,Reward,0.0,0.6,0.1,0.132,0.3386262455678089,118932_fnca,0.52,-1.1458060474592013,0.20693008789492015,-1.5753742824017114
152,Punishment,0.0,0.65,0.1,0.1192,0.3241533901353943,118932_fnca,0.4583333333333333,-1.0462125143645176,0.23079651460867007,-1.4662188458111356
295,Reward,0.0,0.65,0.1,0.1208,0.3260251430720213,118932_fnca,0.52,-1.224445440736495,0.1885161023990454,-1.6685718518748676
153,Punishment,0.0,0.7,0.1,0.156,0.363000572358262,118932_fnca,0.4583333333333333,-0.8328728832828027,0.2820200382177951,-1.265777153058577
