,TrialType,ans,bll,lf,ResponseSwitch_mean,ResponseSwitch_std
0,Neutral,0.0,0.2,0.1,0.21,0.40798878599580124
1,Neutral,0.0,0.25,0.1,0.15333333333333332,0.3609105294341111
2,Neutral,0.0,0.3,0.1,0.26,0.43936713379686193
3,Neutral,0.0,0.35,0.1,0.13333333333333333,0.3405026123034996
4,Neutral,0.0,0.4,0.1,0.16333333333333333,0.37028718253185616
5,Neutral,0.0,0.45,0.1,0.14666666666666667,0.35436441131823415
6,Neutral,0.0,0.5,0.1,0.15333333333333332,0.36091052943411106
7,Neutral,0.0,0.55,0.1,0.14666666666666667,0.35436441131823415
8,Neutral,0.0,0.6,0.1,0.20666666666666667,0.40559080597963054
9,Neutral,0.0,0.65,0.1,0.12,0.32550449652428026
10,Neutral,0.0,0.7,0.1,0.16,0.3672185974698983
11,Neutral,0.0,0.75,0.1,0.13333333333333333,0.3405026123034994
12,Neutral,0.0,0.8,0.1,0.11,0.3134125472108031
13,Neutral,0.05,0.2,0.1,0.17333333333333334,0.37916766204679037
14,Neutral,0.05,0.25,0.1,0.18,0.384829371910396
15,Neutral,0.05,0.3,0.1,0.1,0.3005012534823799
16,Neutral,0.05,0.35,0.1,0.13,0.3368653453081294
17,Neutral,0.05,0.4,0.1,0.15333333333333332,0.3609105294341111
18,Neutral,0.05,0.45,0.1,0.16666666666666666,0.37330068339472067
19,Neutral,0.05,0.5,0.1,0.14,0.34756679298414617
20,Neutral,0.05,0.55,0.1,0.15666666666666668,0.36409353546046747
21,Neutral,0.05,0.6,0.1,0.08333333333333333,0.2768471963423703
22,Neutral,0.05,0.65,0.1,0.18666666666666668,0.3902947461236546
23,Neutral,0.05,0.7,0.1,0.15333333333333332,0.3609105294341111
24,Neutral,0.05,0.75,0.1,0.18333333333333332,0.3875860748793186
25,Neutral,0.05,0.8,0.1,0.15666666666666668,0.36409353546046747
26,Neutral,0.1,0.2,0.1,0.15,0.3576680324053049
27,Neutral,0.1,0.25,0.1,0.16666666666666666,0.37330068339472067
28,Neutral,0.1,0.3,0.1,0.19333333333333333,0.39557192271742886
29,Neutral,0.1,0.35,0.1,0.08666666666666667,0.28181605677298166
30,Neutral,0.1,0.4,0.1,0.15666666666666668,0.36409353546046735
31,Neutral,0.1,0.45,0.1,0.15666666666666668,0.36409353546046724
32,Neutral,0.1,0.5,0.1,0.09,0.2866599257717728
33,Neutral,0.1,0.55,0.1,0.23,0.42153565411754657
34,Neutral,0.1,0.6,0.1,0.17333333333333334,0.3791676620467905
35,Neutral,0.1,0.65,0.1,0.11,0.31341254721080325
36,Neutral,0.1,0.7,0.1,0.13666666666666666,0.34406903458087257
37,Neutral,0.1,0.75,0.1,0.18,0.3848293719103961
38,Neutral,0.1,0.8,0.1,0.19666666666666666,0.3981422858999376
39,Neutral,0.15,0.2,0.1,0.18666666666666668,0.39029474612365467
40,Neutral,0.15,0.25,0.1,0.18,0.3848293719103959
41,Neutral,0.15,0.3,0.1,0.22,0.4149384448848747
42,Neutral,0.15,0.35,0.1,0.09666666666666666,0.2959970773304743
43,Neutral,0.15,0.4,0.1,0.22,0.4149384448848748
44,Neutral,0.15,0.45,0.1,0.16666666666666666,0.37330068339472067
45,Neutral,0.15,0.5,0.1,0.13666666666666666,0.3440690345808724
46,Neutral,0.15,0.55,0.1,0.15666666666666668,0.3640935354604674
47,Neutral,0.15,0.6,0.1,0.12333333333333334,0.3293688434044333
48,Neutral,0.15,0.65,0.1,0.17333333333333334,0.3791676620467904
49,Neutral,0.15,0.7,0.1,0.09333333333333334,0.29138503682901845
50,Neutral,0.15,0.75,0.1,0.18333333333333332,0.38758607487931884
51,Neutral,0.15,0.8,0.1,0.24,0.427796719768649
52,Neutral,0.2,0.2,0.1,0.21,0.4079887859958013
53,Neutral,0.2,0.25,0.1,0.22,0.41493844488487475
54,Neutral,0.2,0.3,0.1,0.18,0.384829371910396
55,Neutral,0.2,0.35,0.1,0.19666666666666666,0.3981422858999375
56,Neutral,0.2,0.4,0.1,0.20666666666666667,0.40559080597963043
57,Neutral,0.2,0.45,0.1,0.16333333333333333,0.37028718253185616
58,Neutral,0.2,0.5,0.1,0.2,0.4006683379765068
59,Neutral,0.2,0.55,0.1,0.18666666666666668,0.39029474612365467
60,Neutral,0.2,0.6,0.1,0.17333333333333334,0.3791676620467903
61,Neutral,0.2,0.65,0.1,0.18333333333333332,0.38758607487931857
62,Neutral,0.2,0.7,0.1,0.21666666666666667,0.41266191376532885
63,Neutral,0.2,0.75,0.1,0.13,0.3368653453081295
64,Neutral,0.2,0.8,0.1,0.24333333333333335,0.4298116047846786
65,Neutral,0.25,0.2,0.1,0.22333333333333333,0.41717583159916755
66,Neutral,0.25,0.25,0.1,0.2733333333333333,0.44641517737511827
67,Neutral,0.25,0.3,0.1,0.25666666666666665,0.43752368943667846
68,Neutral,0.25,0.35,0.1,0.17666666666666667,0.38202359741972397
69,Neutral,0.25,0.4,0.1,0.23333333333333334,0.4236592728681617
70,Neutral,0.25,0.45,0.1,0.17,0.3762604235825436
71,Neutral,0.25,0.5,0.1,0.23666666666666666,0.4257461153528186
72,Neutral,0.25,0.55,0.1,0.17,0.37626042358254336
73,Neutral,0.25,0.6,0.1,0.23,0.42153565411754645
74,Neutral,0.25,0.65,0.1,0.23,0.42153565411754645
75,Neutral,0.25,0.7,0.1,0.22,0.41493844488487475
76,Neutral,0.25,0.75,0.1,0.2833333333333333,0.45136977205609974
77,Neutral,0.25,0.8,0.1,0.18666666666666668,0.39029474612365483
78,Neutral,0.3,0.2,0.1,0.26666666666666666,0.4429555141477927
79,Neutral,0.3,0.25,0.1,0.30333333333333334,0.4604660525025122
80,Neutral,0.3,0.3,0.1,0.29,0.45452021821096344
81,Neutral,0.3,0.35,0.1,0.2833333333333333,0.45136977205609985
82,Neutral,0.3,0.4,0.1,0.3433333333333333,0.4756149572016583
83,Neutral,0.3,0.45,0.1,0.21,0.40798878599580135
84,Neutral,0.3,0.5,0.1,0.35,0.47776654295295445
85,Neutral,0.3,0.55,0.1,0.23333333333333334,0.4236592728681617
86,Neutral,0.3,0.6,0.1,0.25,0.4337361989746802
87,Neutral,0.3,0.65,0.1,0.2866666666666667,0.4529600404188834
88,Neutral,0.3,0.7,0.1,0.25,0.4337361989746802
89,Neutral,0.3,0.75,0.1,0.25666666666666665,0.4375236894366785
90,Neutral,0.3,0.8,0.1,0.27,0.44470124502233466
91,Neutral,0.35,0.2,0.1,0.31666666666666665,0.46595342851767946
92,Neutral,0.35,0.25,0.1,0.38666666666666666,0.48779987489616883
93,Neutral,0.35,0.3,0.1,0.2966666666666667,0.457551527396604
94,Neutral,0.35,0.35,0.1,0.31666666666666665,0.46595342851767946
95,Neutral,0.35,0.4,0.1,0.29,0.45452021821096344
96,Neutral,0.35,0.45,0.1,0.3333333333333333,0.47219216464988567
97,Neutral,0.35,0.5,0.1,0.28095238095238095,0.45000031569232907
98,Neutral,0.35,0.55,0.1,0.295,0.4564232724925276
99,Neutral,0.35,0.6,0.1,0.35833333333333334,0.4799108385006595
100,Neutral,0.35,0.65,0.1,0.31666666666666665,0.46556432329030184
101,Neutral,0.35,0.7,0.1,0.2866666666666667,0.4525817856218734
102,Neutral,0.35,0.75,0.1,0.305,0.46079158137830073
103,Neutral,0.35,0.8,0.1,0.305,0.4607915813783007
104,Neutral,0.4,0.2,0.1,0.38,0.48579143899792315
105,Neutral,0.4,0.25,0.1,0.35833333333333334,0.47991083850065974
106,Neutral,0.4,0.3,0.1,0.32166666666666666,0.46750560571453387
107,Neutral,0.4,0.35,0.1,0.33166666666666667,0.47120478081685807
108,Neutral,0.4,0.4,0.1,0.36833333333333335,0.4827549164996283
109,Neutral,0.4,0.45,0.1,0.37333333333333335,0.4840931030731178
110,Neutral,0.4,0.5,0.1,0.36666666666666664,0.48229649117310114
111,Neutral,0.4,0.55,0.1,0.31666666666666665,0.46556432329030206
112,Neutral,0.4,0.6,0.1,0.32166666666666666,0.46750560571453376
113,Neutral,0.4,0.65,0.1,0.3566666666666667,0.47941487244566394
114,Neutral,0.4,0.7,0.1,0.38166666666666665,0.4862007893537088
115,Neutral,0.4,0.75,0.1,0.36,0.48040050069545887
116,Neutral,0.4,0.8,0.1,0.3283333333333333,0.46999863839062045
117,Neutral,0.45,0.2,0.1,0.3983333333333333,0.48996325938598284
118,Neutral,0.45,0.25,0.1,0.35333333333333333,0.47840395008261216
119,Neutral,0.45,0.3,0.1,0.39666666666666667,0.4896138871461532
120,Neutral,0.45,0.35,0.1,0.4066666666666667,0.49162150929642395
121,Neutral,0.45,0.4,0.1,0.37166666666666665,0.4836532052277757
122,Neutral,0.45,0.45,0.1,0.4116666666666667,0.49254599597649423
123,Neutral,0.45,0.5,0.1,0.37,0.48320714872709447
124,Neutral,0.45,0.55,0.1,0.39,0.48815690298976716
125,Neutral,0.45,0.6,0.1,0.38666666666666666,0.4873925262865881
126,Neutral,0.45,0.65,0.1,0.3433333333333333,0.4752177838904654
127,Neutral,0.45,0.7,0.1,0.39,0.48815690298976705
128,Neutral,0.45,0.75,0.1,0.3983333333333333,0.4899632593859825
129,Neutral,0.45,0.8,0.1,0.385,0.4870013180745449
130,Neutral,0.5,0.2,0.1,0.44,0.49680111941677046
131,Neutral,0.5,0.25,0.1,0.4,0.49030670786726194
132,Neutral,0.5,0.3,0.1,0.3983333333333333,0.4899632593859826
133,Neutral,0.5,0.35,0.1,0.41,0.4922436792208591
134,Neutral,0.5,0.4,0.1,0.43,0.49548883132715504
135,Neutral,0.5,0.45,0.1,0.41,0.4922436792208591
136,Neutral,0.5,0.5,0.1,0.4083333333333333,0.4919355206559365
137,Neutral,0.5,0.55,0.1,0.405,0.4913016339200265
138,Neutral,0.5,0.6,0.1,0.43,0.495488831327155
139,Neutral,0.5,0.65,0.1,0.42333333333333334,0.4944995165234831
140,Neutral,0.5,0.7,0.1,0.4083333333333333,0.49193552065593665
141,Neutral,0.5,0.75,0.1,0.4483333333333333,0.4977383462467298
142,Neutral,0.5,0.8,0.1,0.405,0.4913016339200262
143,Punishment,0.0,0.2,0.1,0.1744,0.37960495246499176
144,Punishment,0.0,0.25,0.1,0.16,0.366752786062857
145,Punishment,0.0,0.3,0.1,0.2352,0.42429350688407563
146,Punishment,0.0,0.35,0.1,0.1432,0.3504168854305909
147,Punishment,0.0,0.4,0.1,0.168,0.3740159225598057
148,Punishment,0.0,0.45,0.1,0.1464,0.35364826264940113
149,Punishment,0.0,0.5,0.1,0.1272,0.33333023750897584
150,Punishment,0.0,0.55,0.1,0.1816,0.38566881173602385
151,Punishment,0.0,0.6,0.1,0.212,0.40888843441878014
152,Punishment,0.0,0.65,0.1,0.1344,0.34121808836440926
153,Punishment,0.0,0.7,0.1,0.1368,0.34377362354228763
154,Punishment,0.0,0.75,0.1,0.1168,0.3213103675293179
155,Punishment,0.0,0.8,0.1,0.112,0.31549267583067947
156,Punishment,0.05,0.2,0.1,0.1792,0.3836731996103972
157,Punishment,0.05,0.25,0.1,0.1984,0.39895459869194916
158,Punishment,0.05,0.3,0.1,0.1184,0.3232104763302201
159,Punishment,0.05,0.35,0.1,0.1352,0.34207392718142915
160,Punishment,0.05,0.4,0.1,0.1568,0.36375763317427995
161,Punishment,0.05,0.45,0.1,0.1616,0.36823079058126823
162,Punishment,0.05,0.5,0.1,0.1432,0.3504168854305909
163,Punishment,0.05,0.55,0.1,0.14,0.3471259096029773
164,Punishment,0.05,0.6,0.1,0.1072,0.30949117569046136
165,Punishment,0.05,0.65,0.1,0.1808,0.3850064206674534
166,Punishment,0.05,0.7,0.1,0.172,0.377531487453981
167,Punishment,0.05,0.75,0.1,0.1536,0.360709202687043
168,Punishment,0.05,0.8,0.1,0.1464,0.35364826264940086
169,Punishment,0.1,0.2,0.1,0.1352,0.34207392718142976
170,Punishment,0.1,0.25,0.1,0.1904,0.39277379877685903
171,Punishment,0.1,0.3,0.1,0.2296,0.4207439368170318
172,Punishment,0.1,0.35,0.1,0.0856,0.27988445517141053
173,Punishment,0.1,0.4,0.1,0.1288,0.335112518895156
174,Punishment,0.1,0.45,0.1,0.1752,0.3802902267022126
175,Punishment,0.1,0.5,0.1,0.096,0.29470914947831023
176,Punishment,0.1,0.55,0.1,0.204,0.4031302658061868
177,Punishment,0.1,0.6,0.1,0.1624,0.36896496868740103
178,Punishment,0.1,0.65,0.1,0.1328,0.33949427843790486
179,Punishment,0.1,0.7,0.1,0.1352,0.34207392718142926
180,Punishment,0.1,0.75,0.1,0.1504,0.3576061321014689
181,Punishment,0.1,0.8,0.1,0.148,0.35524211119467874
182,Punishment,0.15,0.2,0.1,0.204,0.403130265806187
183,Punishment,0.15,0.25,0.1,0.1616,0.368230790581268
184,Punishment,0.15,0.3,0.1,0.2328,0.4227850017753477
185,Punishment,0.15,0.35,0.1,0.1032,0.30434168148196505
