,HCPID,ans,bll,lf,LL
34,147030_fnca,0.1,0.6,0.1,-1.9032008741167492
45,147030_fnca,0.15,0.5,0.1,-1.9081607504681317
3,147030_fnca,0.0,0.35,0.1,-1.9086777264255832
38,147030_fnca,0.1,0.8,0.1,-1.9119165301355634
0,147030_fnca,0.0,0.2,0.1,-1.915120326150097
9,147030_fnca,0.0,0.65,0.1,-1.9162126585535968
42,147030_fnca,0.15,0.35,0.1,-1.9162126585535968
21,147030_fnca,0.05,0.6,0.1,-1.9166001266233699
50,147030_fnca,0.15,0.75,0.1,-1.9176122855693651
7,147030_fnca,0.0,0.55,0.1,-1.9184412091566387
18,147030_fnca,0.05,0.45,0.1,-1.9191981547455488
27,147030_fnca,0.1,0.25,0.1,-1.919769877910517
41,147030_fnca,0.15,0.3,0.1,-1.920680325622913
57,147030_fnca,0.2,0.45,0.1,-1.9214056850291197
5,147030_fnca,0.0,0.45,0.1,-1.921408003014207
2,147030_fnca,0.0,0.3,0.1,-1.9229626923983347
26,147030_fnca,0.1,0.2,0.1,-1.923038435697051
8,147030_fnca,0.0,0.6,0.1,-1.9251680590205118
1,147030_fnca,0.0,0.25,0.1,-1.9255194289664022
30,147030_fnca,0.1,0.4,0.1,-1.9263792097868038
37,147030_fnca,0.1,0.75,0.1,-1.9275857205455074
40,147030_fnca,0.15,0.25,0.1,-1.9280450495354209
23,147030_fnca,0.05,0.7,0.1,-1.9281399537512212
14,147030_fnca,0.05,0.25,0.1,-1.9282143268450342
54,147030_fnca,0.2,0.3,0.1,-1.9292135377642106
62,147030_fnca,0.2,0.7,0.1,-1.9303079872486564
11,147030_fnca,0.0,0.75,0.1,-1.9313523469762792
15,147030_fnca,0.05,0.3,0.1,-1.932482664254496
46,147030_fnca,0.15,0.55,0.1,-1.9341764017018843
25,147030_fnca,0.05,0.8,0.1,-1.934176487795312
33,147030_fnca,0.1,0.55,0.1,-1.9348038721257976
19,147030_fnca,0.05,0.5,0.1,-1.9354808625202975
53,147030_fnca,0.2,0.25,0.1,-1.9365288321717742
17,147030_fnca,0.05,0.4,0.1,-1.9369519364728989
10,147030_fnca,0.0,0.7,0.1,-1.9376427424835425
22,147030_fnca,0.05,0.65,0.1,-1.9378340359593094
24,147030_fnca,0.05,0.75,0.1,-1.9407951309665585
36,147030_fnca,0.1,0.7,0.1,-1.9407951309665585
48,147030_fnca,0.15,0.65,0.1,-1.941097969769335
58,147030_fnca,0.2,0.5,0.1,-1.94177209607572
60,147030_fnca,0.2,0.6,0.1,-1.9418062358666461
31,147030_fnca,0.1,0.45,0.1,-1.9436884716897467
79,147030_fnca,0.3,0.25,0.1,-1.9452561627383296
