,TrialType,egs,alpha,r,ResponseSwitch_mean,ResponseSwitch_std
0,Neutral,0.0,0.05,1,0.0,0.0
1,Neutral,0.0,0.1,1,0.0,0.0
2,Neutral,0.0,0.15,1,0.0,0.0
3,Neutral,0.0,0.2,1,0.0,0.0
4,Neutral,0.0,0.25,1,0.0,0.0
5,Neutral,0.0,0.3,1,0.0,0.0
6,Neutral,0.0,0.35,1,0.0,0.0
7,Neutral,0.0,0.4,1,0.0,0.0
8,Neutral,0.0,0.45,1,0.0,0.0
9,Neutral,0.0,0.5,1,0.0,0.0
10,Neutral,0.05,0.05,1,0.17666666666666667,0.38202359741972386
11,Neutral,0.05,0.1,1,0.16,0.36721859746989843
12,Neutral,0.05,0.15,1,0.006666666666666667,0.08151300584956361
13,Neutral,0.05,0.2,1,0.006666666666666667,0.08151300584956361
14,Neutral,0.05,0.25,1,0.0,0.0
15,Neutral,0.05,0.3,1,0.08333333333333333,0.2768471963423705
16,Neutral,0.05,0.35,1,0.023333333333333334,0.15121212222763156
17,Neutral,0.05,0.4,1,0.023333333333333334,0.15121212222763145
18,Neutral,0.05,0.45,1,0.03333333333333333,0.17980541941701317
19,Neutral,0.05,0.5,1,0.05,0.218309099389499
20,Neutral,0.1,0.05,1,0.26,0.439367133796862
21,Neutral,0.1,0.1,1,0.16,0.36721859746989843
22,Neutral,0.1,0.15,1,0.14,0.34756679298414606
23,Neutral,0.1,0.2,1,0.03666666666666667,0.18825609351281197
24,Neutral,0.1,0.25,1,0.02666666666666667,0.16137646493112853
25,Neutral,0.1,0.3,1,0.13,0.3368653453081293
26,Neutral,0.1,0.35,1,0.09333333333333334,0.2913850368290183
27,Neutral,0.1,0.4,1,0.05,0.2183090993894991
28,Neutral,0.1,0.45,1,0.09,0.2866599257717728
29,Neutral,0.1,0.5,1,0.09666666666666666,0.29599707733047437
30,Neutral,0.15,0.05,1,0.32,0.4672555609057259
31,Neutral,0.15,0.1,1,0.27,0.4447012450223349
32,Neutral,0.15,0.15,1,0.16,0.3672185974698983
33,Neutral,0.15,0.2,1,0.13666666666666666,0.3440690345808725
34,Neutral,0.15,0.25,1,0.14,0.34756679298414606
35,Neutral,0.15,0.3,1,0.11333333333333333,0.3175294822993922
36,Neutral,0.15,0.35,1,0.13666666666666666,0.34406903458087235
37,Neutral,0.15,0.4,1,0.09,0.2866599257717727
38,Neutral,0.15,0.45,1,0.11333333333333333,0.3175294822993922
39,Neutral,0.15,0.5,1,0.10666666666666667,0.30920475550187154
40,Neutral,0.2,0.05,1,0.37,0.48361099931888163
41,Neutral,0.2,0.1,1,0.25,0.43373619897468013
42,Neutral,0.2,0.15,1,0.21,0.4079887859958013
43,Neutral,0.2,0.2,1,0.15333333333333332,0.36091052943411095
44,Neutral,0.2,0.25,1,0.14,0.3475667929841463
45,Neutral,0.2,0.3,1,0.19,0.3929563789010983
46,Neutral,0.2,0.35,1,0.13666666666666666,0.3440690345808725
47,Neutral,0.2,0.4,1,0.1,0.3005012534823802
48,Neutral,0.2,0.45,1,0.12333333333333334,0.3293688434044334
49,Neutral,0.2,0.5,1,0.11666666666666667,0.3215590505108515
50,Neutral,0.25,0.05,1,0.36666666666666664,0.4826995806635826
51,Neutral,0.25,0.1,1,0.3233333333333333,0.46853028109529155
52,Neutral,0.25,0.15,1,0.24333333333333335,0.42981160478467867
53,Neutral,0.25,0.2,1,0.18333333333333332,0.3875860748793185
54,Neutral,0.25,0.25,1,0.17,0.3762604235825434
55,Neutral,0.25,0.3,1,0.13333333333333333,0.34050261230349943
56,Neutral,0.25,0.35,1,0.16333333333333333,0.3702871825318562
