,HCPID,LL.m1,LL.m2,LL.diff,BestModel
21,100307_fnca,-1.941202339262793,-1.90063063768919,-0.040571701573603125,model2
70,100408_fnca,-1.9242706489040693,-1.8489630487356457,-0.07530760016842364,model2
105,101006_fnca,-2.0161306609950893,-1.8822121055223944,-0.13391855547269493,model2
16,101107_fnca,-1.844458284071028,-1.860755251036707,0.01629696696567895,model1
103,101309_fnca,-2.0345299712969123,-2.043320559508261,0.008790588211348815,model1
179,101410_fnca,-1.8433396053023143,-1.838006162764405,-0.005333442537909239,model2
120,101915_fnca,-1.8385998904796508,-1.8511286423501967,0.012528751870545918,model1
188,102008_fnca,-1.8620968531600348,-1.8408830819271147,-0.02121377123292012,model2
197,102311_fnca,-1.881713618559881,-1.8768116192297437,-0.004901999330137352,model2
46,102816_fnca,-1.875200232997119,-1.844049921319942,-0.031150311677176967,model2
196,103111_fnca,-1.8639054909530088,-1.8403986899288225,-0.02350680102418634,model2
6,103414_fnca,-1.86856620856848,-1.8383348599453544,-0.030231348623125598,model2
174,103515_fnca,-1.913779080896051,-1.8410159577129188,-0.07276312318313227,model2
181,103818_fnca,-1.900635164094151,-1.856595107168084,-0.04404005692606705,model2
151,104820_fnca,-1.8547882333134225,-1.838507001326377,-0.016281231987045564,model2
163,105014_fnca,-1.8492049368625847,-1.8395198296605495,-0.009685107202035192,model2
34,105115_fnca,-1.9066644000556088,-1.9579254855602035,0.05126108550459474,model1
192,105216_fnca,-1.8438973697416212,-1.8472254125002767,0.003328042758655503,model1
93,106016_fnca,-1.8791037122042715,-1.9038142699809013,0.024710557776629782,model1
52,106319_fnca,-1.860228950573012,-1.8379717831100053,-0.022257167463006766,model2
154,106521_fnca,-1.850702357644676,-1.8652430975452527,0.014540739900576805,model1
86,107321_fnca,-1.849546497972252,-1.8820580876594124,0.03251158968716039,model1
156,107422_fnca,-1.8508642572026808,-1.8657528647031076,0.014888607500426865,model1
153,108121_fnca,-2.1029556811324936,-1.952766700995241,-0.15018898013725268,model2
128,108323_fnca,-1.922504278665294,-1.8468119316810467,-0.0756923469842472,model2
78,108525_fnca,-2.0625223600217737,-1.8536770085184897,-0.20884535150328398,model2
125,108828_fnca,-2.0060007881207884,-1.863021366095924,-0.14297942202486436,model2
89,109123_fnca,-1.8406447278992828,-1.838491532697558,-0.0021531952017248557,model2
15,109325_fnca,-1.8717894039526888,-1.9036585268786224,0.03186912292593358,model1
0,110411_fnca,-1.8718724062160912,-1.911605694929781,0.03973328871368986,model1
187,111312_fnca,-2.033644806706509,-1.8917291803087533,-0.14191562639775568,model2
14,111413_fnca,-2.19348807306408,-1.9021263034115576,-0.29136176965252236,model2
19,111716_fnca,-1.838832941282384,-1.8405586006872217,0.0017256594048375984,model1
