Index	MNI (Peak)	Peak Anatomical Location	Brodmann Areas	AAL Locations	Size (voxels)	Peak intensity
1	22, -82, -48	Cerebelum_Crus2_R (aal)	BA18 (3.35%); BA19 (2.04%); BA17 (1.38%); BA37 (1.25%); BA20 (0.64%); BA30 (0.58%); BA11 (0.53%); BA8 (0.37%); BA47 (0.37%); BA21 (0.25%); BA10 (0.23%); BA36 (0.22%); BA23 (0.22%); BA39 (0.20%); BA46 (0.18%); BA9 (0.15%); BA31 (0.11%); BA28 (0.10%); BA22 (0.10%); BA35 (0.10%); BA29 (0.09%); BA6 (0.08%); BA27 (0.07%); BA13 (0.07%); BA45 (0.05%); BA32 (0.05%); BA25 (0.04%); BA38 (0.01%); BA41 (0.01%);	Right Cerebelum_6_R (4.44%); Right Cerebelum_Crus1_R (4.16%); Left Cerebelum_6_L (3.82%); Left Cerebelum_Crus2_L (3.56%); Left Cerebelum_Crus1_L (3.38%); Right Fusiform gyrus (3.15%); Left Calcarine fissure and surrounding cortex (2.99%); Right Calcarine fissure and surrounding cortex (2.94%); Right Lingual gyrus (2.76%); Left Middle occipital gyrus (2.64%); Right Cerebelum_8_R (2.62%); Right Cerebelum_Crus2_R (2.35%); Left Cerebelum_8_L (2.15%); Right Middle temporal gyrus (2.14%); Left Fusiform gyrus (2.12%); Left Cerebelum_4_5_L (1.81%); Right Cerebelum_4_5_R (1.72%); Right Cerebelum_9_R (1.62%); Left Lingual gyrus (1.62%); Left Cerebelum_9_L (1.45%); Right Inferior frontal gyrus, orbital part (1.35%); Right Inferior temporal gyrus (1.27%); Right Middle occipital gyrus (1.21%); Vermis_6 (1.17%); Right Hippocampus (1.13%); Left Inferior occipital gyrus (1.12%); Left Inferior temporal gyrus (1.01%); Right Parahippocampal gyrus (0.99%); Right Inferior occipital gyrus (0.96%); Left Thalamus (0.84%); Right Thalamus (0.78%); Vermis_8 (0.77%); Left Cerebelum_7b_L (0.73%); Vermis_4_5 (0.70%); Left Superior occipital gyrus (0.65%); Vermis_7 (0.63%); Right Precuneus (0.63%); Left Hippocampus (0.61%); Right Insula (0.61%); Right Superior occipital gyrus (0.58%); Right Middle frontal gyrus (0.58%); Right Cerebelum_7b_R (0.55%); Vermis_9 (0.53%); Left Middle temporal gyrus (0.53%); Right Cuneus (0.52%); Left Cuneus (0.50%); Right Cerebelum_3_R (0.48%); Right Superior frontal gyrus, orbital part (0.46%); Right Inferior frontal gyrus, triangular part (0.45%); Right Superior frontal gyrus, medial orbital (0.39%); Right Gyrus rectus (0.39%); Right Posterior cingulate gyrus (0.33%); Left Gyrus rectus (0.32%); Left Parahippocampal gyrus (0.32%); Right Frontal_Med_Orb_R (0.31%); Vermis_3 (0.31%); Right Lenticular nucleus, putamen (0.30%); Right Superior frontal gyrus, medial (0.29%); Right Superior frontal gyrus, dorsolateral (0.28%); Left Superior frontal gyrus, medial (0.19%); Left Cerebelum_3_L (0.18%); Vermis_10 (0.14%); Right Superior temporal gyrus (0.13%); Right Temporal pole: superior temporal gyrus (0.13%); Right Inferior frontal gyrus, opercular part (0.13%); Right Amygdala (0.11%); Right Lenticular nucleus, pallidum (0.10%); Vermis_1_2 (0.09%); Left Posterior cingulate gyrus (0.08%); Right Temporal pole: middle temporal gyrus (0.06%); Right Cerebelum_10_R (0.06%); Right Anterior cingulate and paracingulate gyri (0.05%); Right Rolandic operculum (0.05%); Right Precental gyrus (0.04%); Left Angular gyrus (0.03%); Left Caudate nucleus (0.02%); Left Superior frontal gyrus, dorsolateral (0.01%); Left Frontal_Med_Orb_L (0.01%); Right Olfactory cortex (0.00%);	30662	14.09
2	-12, -44, -62		-	-	12	6.20
3	-4, -36, -62		-	-	8	4.27
4	-42, -56, -48	Cerebelum_7b_L (aal)	-	Left Cerebelum_7b_L (40.00%); Left Cerebelum_8_L (40.00%); Left Cerebelum_Crus2_L (20.00%);	5	3.72
5	32, 4, -48	brodmann area 38	BA20 (38.10%); BA38 (21.43%);	Right Fusiform gyrus (23.81%); Right Inferior temporal gyrus (19.05%); Right Temporal pole: middle temporal gyrus (2.38%);	42	8.95
6	38, -6, -46	Temporal_Inf_R (aal)	BA20 (80.00%);	Right Inferior temporal gyrus (80.00%); Right Fusiform gyrus (20.00%);	5	6.57
7	52, 8, -40	Temporal_Inf_R (aal)	BA21 (20.00%);	Right Inferior temporal gyrus (100.00%);	5	4.07
8	-10, -18, -40		-	-	6	6.75
9	-32, 14, -38	Temporal_Pole_Mid_L (aal)	BA38 (10.00%);	Left Temporal pole: middle temporal gyrus (86.67%); Left Inferior temporal gyrus (13.33%);	30	5.29
10	-6, -16, -38	Pons	-	-	18	5.49
