,HCPID,egs,alpha,r,LL
1,111413_fnca,0.0,0.1,1,-1.9021263034115576
11,111413_fnca,0.05,0.1,1,-1.9696462551415967
21,111413_fnca,0.1,0.1,1,-2.0358531105609328
31,111413_fnca,0.15,0.1,1,-2.0711999916885375
41,111413_fnca,0.2,0.1,1,-2.078318450874054
10,111413_fnca,0.05,0.05,1,-2.1172582401093147
51,111413_fnca,0.25,0.1,1,-2.14135380740107
61,111413_fnca,0.3,0.1,1,-2.155141339023667
102,111413_fnca,0.5,0.15,1,-2.16296797935951
71,111413_fnca,0.35,0.1,1,-2.1634141284760986
92,111413_fnca,0.45,0.15,1,-2.170942515043266
62,111413_fnca,0.3,0.15,1,-2.178277702969814
20,111413_fnca,0.1,0.05,1,-2.180263813796909
82,111413_fnca,0.4,0.15,1,-2.1882941813639563
30,111413_fnca,0.15,0.05,1,-2.1912404459662205
72,111413_fnca,0.35,0.15,1,-2.193452253759803
52,111413_fnca,0.25,0.15,1,-2.1971954136380365
91,111413_fnca,0.45,0.1,1,-2.200177649297104
81,111413_fnca,0.4,0.1,1,-2.2033553013819147
101,111413_fnca,0.5,0.1,1,-2.2058099719676205
50,111413_fnca,0.25,0.05,1,-2.223333068879575
42,111413_fnca,0.2,0.15,1,-2.2239257440561113
40,111413_fnca,0.2,0.05,1,-2.2338239625687653
100,111413_fnca,0.5,0.05,1,-2.241761518921507
32,111413_fnca,0.15,0.15,1,-2.244382585749365
60,111413_fnca,0.3,0.05,1,-2.2564522852615294
22,111413_fnca,0.1,0.15,1,-2.273754439718509
70,111413_fnca,0.35,0.05,1,-2.2856939652744925
103,111413_fnca,0.5,0.2,1,-2.289807171004093
12,111413_fnca,0.05,0.15,1,-2.296967746763075
80,111413_fnca,0.4,0.05,1,-2.2977688533527862
0,111413_fnca,0.0,0.05,1,-2.311509977924497
90,111413_fnca,0.45,0.05,1,-2.3235711575582902
93,111413_fnca,0.45,0.2,1,-2.3376511099952775
2,111413_fnca,0.0,0.15,1,-2.3523515821672203
83,111413_fnca,0.4,0.2,1,-2.3738870866039163
73,111413_fnca,0.35,0.2,1,-2.4256826774953706
53,111413_fnca,0.25,0.2,1,-2.4712208697810087
63,111413_fnca,0.3,0.2,1,-2.480217108858867
104,111413_fnca,0.5,0.25,1,-2.4856726629631902
43,111413_fnca,0.2,0.2,1,-2.508622871815085
94,111413_fnca,0.45,0.25,1,-2.6042508239332753
33,111413_fnca,0.15,0.2,1,-2.677601209258466
5,111413_fnca,0.0,0.3,1,-2.695534617607603
4,111413_fnca,0.0,0.25,1,-2.69585071818785
13,111413_fnca,0.05,0.2,1,-2.6968135605340295
3,111413_fnca,0.0,0.2,1,-2.6977977007994345
14,111413_fnca,0.05,0.25,1,-2.7013210025476564
23,111413_fnca,0.1,0.2,1,-2.7239819351379477
24,111413_fnca,0.1,0.25,1,-2.7506113119933726
84,111413_fnca,0.4,0.25,1,-2.7511144451631755
106,111413_fnca,0.5,0.35,1,-2.755407566365675
34,111413_fnca,0.15,0.25,1,-2.781765110403283
105,111413_fnca,0.5,0.3,1,-2.7941454675804884
74,111413_fnca,0.35,0.25,1,-2.797403271966699
64,111413_fnca,0.3,0.25,1,-2.8303623514952676
54,111413_fnca,0.25,0.25,1,-2.8363814009554527
44,111413_fnca,0.2,0.25,1,-2.85913440163539
95,111413_fnca,0.45,0.3,1,-2.8635740375433687
85,111413_fnca,0.4,0.3,1,-2.9394511173268296
6,111413_fnca,0.0,0.35,1,-3.0166303166506454
7,111413_fnca,0.0,0.4,1,-3.0188766601117294
8,111413_fnca,0.0,0.45,1,-3.0198746523338427
9,111413_fnca,0.0,0.5,1,-3.0202118535329148
15,111413_fnca,0.05,0.3,1,-3.05011786561456
108,111413_fnca,0.5,0.45,1,-3.062177175349519
98,111413_fnca,0.45,0.45,1,-3.0711913611553467
96,111413_fnca,0.45,0.35,1,-3.087986351930291
17,111413_fnca,0.05,0.4,1,-3.1210175406598477
107,111413_fnca,0.5,0.4,1,-3.127060069488947
65,111413_fnca,0.3,0.3,1,-3.145391369389806
45,111413_fnca,0.2,0.3,1,-3.146600073654264
75,111413_fnca,0.35,0.3,1,-3.156687308792476
16,111413_fnca,0.05,0.35,1,-3.178182376866888
18,111413_fnca,0.05,0.45,1,-3.2075381262982
67,111413_fnca,0.3,0.4,1,-3.2139094443454552
55,111413_fnca,0.25,0.3,1,-3.2166861863996266
