,TrialType,ans,bll,lf,ResponseSwitch_mean,ResponseSwitch_std,HCPID,ResponseSwitch,PSwitch_z,PSwitch_probz,PSwitch_logprobz
143,Punishment,0.0,0.2,0.1,0.1408,0.3479543328861122,113215_fnca,0.1739130434782608,-0.0951649120262541,0.3971398817230265,-0.9234667134451551
286,Reward,0.0,0.2,0.1,0.1472,0.3544469863504361,113215_fnca,0.56,-1.164631146255173,0.20247853731543286,-1.597121386618492
144,Punishment,0.0,0.25,0.1,0.1624,0.3689649686874011,113215_fnca,0.1739130434782608,-0.031203622173721968,0.3987481093951689,-0.9194253662230528
287,Reward,0.0,0.25,0.1,0.1616,0.3682307905812678,113215_fnca,0.56,-1.0819301649683042,0.22218942967254085,-1.5042249741388436
145,Punishment,0.0,0.3,0.1,0.1312,0.337754085479075,113215_fnca,0.1739130434782608,-0.12646195949836117,0.3957649332812251,-0.9269348468047552
288,Reward,0.0,0.3,0.1,0.1568,0.3637576331742795,113215_fnca,0.56,-1.1084303482006201,0.2158336187657255,-1.5332474516107466
146,Punishment,0.0,0.35,0.1,0.2096,0.4071860513135334,113215_fnca,0.1739130434782608,0.08764287579748214,0.39741302651685045,-0.9227791700436991
289,Reward,0.0,0.35,0.1,0.2048,0.4037169180006009,113215_fnca,0.56,-0.8798244120140425,0.27090582406002484,-1.3059840311926003
147,Punishment,0.0,0.4,0.1,0.228,0.4197105258871071,113215_fnca,0.1739130434782608,0.1288672863455595,0.395643422364417,-0.9272419219497069
290,Reward,0.0,0.4,0.1,0.2104,0.4077558728964001,113215_fnca,0.56,-0.8573757565199412,0.2762400272819214,-1.2864851271387436
148,Punishment,0.0,0.45,0.1,0.1312,0.3377540854790748,113215_fnca,0.1739130434782608,-0.12646195949836123,0.3957649332812251,-0.9269348468047552
291,Reward,0.0,0.45,0.1,0.1352,0.3420739271814293,113215_fnca,0.56,-1.2418368260340826,0.1845162239919519,-1.690017884451875
149,Punishment,0.0,0.5,0.1,0.1688,0.3747250927227761,113215_fnca,0.1739130434782608,-0.013644785410843742,0.39890514455937404,-0.9190316232891266
292,Reward,0.0,0.5,0.1,0.1592,0.3660089206891265,113215_fnca,0.56,-1.095055276918848,0.21903766821845946,-1.5185115629585801
