,TrialType,egs,alpha,r,ResponseSwitch_mean,ResponseSwitch_std,HCPID,ResponseSwitch,PSwitch_z,PSwitch_probz,PSwitch_logprobz
110,Punishment,0.0,0.05,1,0.88,0.3250915988427114,130316_fnca,0.28,1.8456336679752132,0.07264865871752166,-2.6221203513864926
220,Reward,0.0,0.05,1,0.5024,0.5001943577414812,130316_fnca,0.76,-0.5149998115995086,0.34939543864902206,-1.0515509361784372
111,Punishment,0.0,0.1,1,0.6,0.4900940253900043,130316_fnca,0.28,0.6529359335595902,0.3223552115887449,-1.1321011998713393
221,Reward,0.0,0.1,1,0.1824,0.386328409144046,130316_fnca,0.76,-1.4951010237112454,0.1304712910003311,-2.0366020687558795
112,Punishment,0.0,0.15,1,0.28,0.4491785937990611,130316_fnca,0.28,0.0,0.3989422804014327,-0.9189385332046727
222,Reward,0.0,0.15,1,0.1864,0.3895849858104582,130316_fnca,0.76,-1.4723360008516069,0.1349534758994988,-2.0028251829065242
113,Punishment,0.0,0.2,1,0.2,0.4001600960640447,130316_fnca,0.28,-0.19991998399359692,0.3910489507086133,-0.9389225332046726
223,Reward,0.0,0.2,1,0.1448,0.3520399205836573,130316_fnca,0.76,-1.7475290841448943,0.08665093406168117,-2.445867483170819
114,Punishment,0.0,0.25,1,0.2,0.4001600960640447,130316_fnca,0.28,-0.19991998399359692,0.3910489507086133,-0.9389225332046726
224,Reward,0.0,0.25,1,0.14,0.3471259096029771,130316_fnca,0.76,-1.7860954277631442,0.08094325124634454,-2.514006971742877
115,Punishment,0.0,0.3,1,0.2,0.4001600960640447,130316_fnca,0.28,-0.19991998399359692,0.3910489507086133,-0.9389225332046726
225,Reward,0.0,0.3,1,0.1384,0.3454575411395506,130316_fnca,0.76,-1.7993528175692635,0.07904216661810604,-2.537773814251896
116,Punishment,0.0,0.35,1,0.16,0.3667527860628576,130316_fnca,0.28,-0.3271958784232201,0.3781489532999667,-0.9724671046332439
226,Reward,0.0,0.35,1,0.14,0.347125909602977,130316_fnca,0.76,-1.786095427763145,0.08094325124634444,-2.5140069717428783
117,Punishment,0.0,0.4,1,0.16,0.3667527860628576,130316_fnca,0.28,-0.3271958784232201,0.3781489532999667,-0.9724671046332439
227,Reward,0.0,0.4,1,0.1368,0.343773623542288,130316_fnca,0.76,-1.8128208719984573,0.07714270272598746,-2.562098290181296
118,Punishment,0.0,0.45,1,0.16,0.3667527860628576,130316_fnca,0.28,-0.3271958784232201,0.3781489532999667,-0.9724671046332439
228,Reward,0.0,0.45,1,0.1384,0.3454575411395504,130316_fnca,0.76,-1.7993528175692644,0.07904216661810591,-2.537773814251898
119,Punishment,0.0,0.5,1,0.16,0.3667527860628576,130316_fnca,0.28,-0.3271958784232201,0.3781489532999667,-0.9724671046332439
229,Reward,0.0,0.5,1,0.1384,0.3454575411395503,130316_fnca,0.76,-1.7993528175692648,0.07904216661810586,-2.5377738142518984
120,Punishment,0.05,0.05,1,0.7184,0.4499593434173614,130316_fnca,0.28,0.9743102491670242,0.24818551601443792,-1.3935787640206272
230,Reward,0.05,0.05,1,0.4456,0.4972307620658595,130316_fnca,0.76,-0.6323019893092554,0.3266580296941685,-1.1188414360468935
121,Punishment,0.05,0.1,1,0.5256,0.4995440675459333,130316_fnca,0.28,0.4916483168472758,0.35352624011634687,-1.0397975669340522
231,Reward,0.05,0.1,1,0.2528,0.4347912081859206,130316_fnca,0.76,-1.1665369272672061,0.20202926122067433,-1.5993427345436801
122,Punishment,0.05,0.15,1,0.3048,0.4605069090585206,130316_fnca,0.28,0.05385369798403706,0.39836418930356104,-0.9203886435979506
232,Reward,0.05,0.15,1,0.1816,0.3856688117360238,130316_fnca,0.76,-1.4997323672516556,0.12956959618867792,-2.0435371198958
123,Punishment,0.05,0.2,1,0.2008,0.4007590875788366,130316_fnca,0.28,-0.19762496336260857,0.3912273828242254,-0.9384663462767088
233,Reward,0.05,0.2,1,0.1432,0.3504168854305909,130316_fnca,0.76,-1.7601891508226797,0.08474814197662016,-2.4680714565416055
124,Punishment,0.05,0.25,1,0.1984,0.3989545986919487,130316_fnca,0.28,-0.20453455171977392,0.3906841974004023,-0.939855724628277
234,Reward,0.05,0.25,1,0.14,0.3471259096029769,130316_fnca,0.76,-1.7860954277631456,0.08094325124634433,-2.5140069717428797
125,Punishment,0.05,0.3,1,0.136,0.3429257623200252,130316_fnca,0.28,-0.41991595797814785,0.3652755644733955,-1.0071032390870254
235,Reward,0.05,0.3,1,0.1368,0.3437736235422882,130316_fnca,0.76,-1.8128208719984564,0.0771427027259876,-2.5620982901812943
126,Punishment,0.05,0.35,1,0.1512,0.358387099447567,130316_fnca,0.28,-0.35938793611304026,0.3739929329818945,-0.983518377516468
236,Reward,0.05,0.35,1,0.1408,0.347954332886112,130316_fnca,0.76,-1.7795438696338024,0.0818942314081804,-2.5023267251802963
127,Punishment,0.05,0.4,1,0.1584,0.3652617868575234,130316_fnca,0.28,-0.332911912429077,0.3774362102947753,-0.9743537039232655
237,Reward,0.05,0.4,1,0.14,0.3471259096029769,130316_fnca,0.76,-1.7860954277631456,0.08094325124634433,-2.5140069717428797
128,Punishment,0.05,0.45,1,0.1408,0.3479543328861121,130316_fnca,0.28,-0.4000524978246532,0.3682624065245498,-0.9989595337125448
238,Reward,0.05,0.45,1,0.1368,0.3437736235422882,130316_fnca,0.76,-1.8128208719984564,0.0771427027259876,-2.5620982901812943
129,Punishment,0.05,0.5,1,0.1336,0.3403582156669316,130316_fnca,0.28,-0.4301350555417896,0.3636924754090896,-1.0114466162076419
239,Reward,0.05,0.5,1,0.1384,0.3454575411395505,130316_fnca,0.76,-1.7993528175692637,0.07904216661810601,-2.5377738142518966
130,Punishment,0.1,0.05,1,0.6168,0.4863609745837739,130316_fnca,0.28,0.6924897711791788,0.3138909724711789,-1.1587095747985683
240,Reward,0.1,0.05,1,0.4576,0.4983983956320635,130316_fnca,0.76,-0.6067435261634411,0.3318715155002608,-1.1030073864752956
131,Punishment,0.1,0.1,1,0.5592,0.4966817030768669,130316_fnca,0.28,0.5621306326977598,0.34063833785924946,-1.0769339573132646
241,Reward,0.1,0.1,1,0.2928,0.4552295543544224,130316_fnca,0.76,-1.0262954053204065,0.23560946294839036,-1.4455796626955615
