,TrialType,ans,bll,lf,ResponseSwitch_mean,ResponseSwitch_std
0,Neutral,0.0,0.2,0.1,0.15333333333333332,0.3609105294341108
1,Neutral,0.0,0.25,0.1,0.13,0.3368653453081294
2,Neutral,0.0,0.3,0.1,0.16333333333333333,0.3702871825318561
3,Neutral,0.0,0.35,0.1,0.18,0.38482937191039596
4,Neutral,0.0,0.4,0.1,0.17666666666666667,0.38202359741972386
5,Neutral,0.0,0.45,0.1,0.20333333333333334,0.4031509118779828
6,Neutral,0.0,0.5,0.1,0.18,0.3848293719103961
7,Neutral,0.0,0.55,0.1,0.14,0.3475667929841461
8,Neutral,0.0,0.6,0.1,0.16,0.36721859746989804
9,Neutral,0.0,0.65,0.1,0.16666666666666666,0.37330068339472067
10,Neutral,0.0,0.7,0.1,0.20666666666666667,0.40559080597963054
11,Neutral,0.0,0.75,0.1,0.25333333333333335,0.43564685564303257
12,Neutral,0.0,0.8,0.1,0.15666666666666668,0.36409353546046747
13,Neutral,0.05,0.2,0.1,0.15666666666666668,0.3640935354604676
14,Neutral,0.05,0.25,0.1,0.18,0.38482937191039596
15,Neutral,0.05,0.3,0.1,0.23,0.4215356541175465
16,Neutral,0.05,0.35,0.1,0.17666666666666667,0.3820235974197239
17,Neutral,0.05,0.4,0.1,0.15,0.3576680324053051
18,Neutral,0.05,0.45,0.1,0.19666666666666666,0.39814228589993766
19,Neutral,0.05,0.5,0.1,0.14666666666666667,0.35436441131823426
20,Neutral,0.05,0.55,0.1,0.14333333333333334,0.3509979402633573
21,Neutral,0.05,0.6,0.1,0.08,0.27174648819470293
22,Neutral,0.05,0.65,0.1,0.16666666666666666,0.3733006833947208
23,Neutral,0.05,0.7,0.1,0.12,0.32550449652428004
24,Neutral,0.05,0.75,0.1,0.08,0.271746488194703
25,Neutral,0.05,0.8,0.1,0.09333333333333334,0.29138503682901834
26,Neutral,0.1,0.2,0.1,0.20333333333333334,0.4031509118779827
27,Neutral,0.1,0.25,0.1,0.24666666666666667,0.43179127043782356
28,Neutral,0.1,0.3,0.1,0.14666666666666667,0.35436441131823426
29,Neutral,0.1,0.35,0.1,0.19333333333333333,0.3955719227174287
30,Neutral,0.1,0.4,0.1,0.15,0.357668032405305
31,Neutral,0.1,0.45,0.1,0.24,0.42779671976864886
32,Neutral,0.1,0.5,0.1,0.14666666666666667,0.35436441131823415
33,Neutral,0.1,0.55,0.1,0.21,0.4079887859958013
34,Neutral,0.1,0.6,0.1,0.18666666666666668,0.3902947461236546
35,Neutral,0.1,0.65,0.1,0.17,0.37626042358254336
36,Neutral,0.1,0.7,0.1,0.14,0.34756679298414606
37,Neutral,0.1,0.75,0.1,0.17,0.3762604235825435
38,Neutral,0.1,0.8,0.1,0.17,0.3762604235825435
39,Neutral,0.15,0.2,0.1,0.21666666666666667,0.412661913765329
40,Neutral,0.15,0.25,0.1,0.1,0.30050125348238
41,Neutral,0.15,0.3,0.1,0.2,0.4006683379765068
42,Neutral,0.15,0.35,0.1,0.17,0.37626042358254336
43,Neutral,0.15,0.4,0.1,0.09666666666666666,0.2959970773304744
44,Neutral,0.15,0.45,0.1,0.13666666666666666,0.3440690345808725
45,Neutral,0.15,0.5,0.1,0.22666666666666666,0.4193747004212345
46,Neutral,0.15,0.55,0.1,0.16,0.36721859746989816
47,Neutral,0.15,0.6,0.1,0.18666666666666668,0.3902947461236546
48,Neutral,0.15,0.65,0.1,0.14666666666666667,0.3543644113182342
49,Neutral,0.15,0.7,0.1,0.18,0.384829371910396
50,Neutral,0.15,0.75,0.1,0.16,0.36721859746989843
51,Neutral,0.15,0.8,0.1,0.16,0.36721859746989827
52,Neutral,0.2,0.2,0.1,0.23666666666666666,0.42574611535281853
53,Neutral,0.2,0.25,0.1,0.22666666666666666,0.4193747004212346
54,Neutral,0.2,0.3,0.1,0.21333333333333335,0.41034558674051014
55,Neutral,0.2,0.35,0.1,0.14666666666666667,0.35436441131823415
56,Neutral,0.2,0.4,0.1,0.23666666666666666,0.4257461153528187
57,Neutral,0.2,0.45,0.1,0.17666666666666667,0.38202359741972375
58,Neutral,0.2,0.5,0.1,0.18333333333333332,0.38758607487931873
59,Neutral,0.2,0.55,0.1,0.11,0.31341254721080325
60,Neutral,0.2,0.6,0.1,0.13333333333333333,0.3405026123034995
61,Neutral,0.2,0.65,0.1,0.2,0.4006683379765066
62,Neutral,0.2,0.7,0.1,0.17333333333333334,0.3791676620467902
63,Neutral,0.2,0.75,0.1,0.17333333333333334,0.37916766204679025
64,Neutral,0.2,0.8,0.1,0.15,0.3576680324053049
65,Neutral,0.25,0.2,0.1,0.18666666666666668,0.3902947461236548
66,Neutral,0.25,0.25,0.1,0.24333333333333335,0.4298116047846787
67,Neutral,0.25,0.3,0.1,0.19666666666666666,0.3981422858999376
68,Neutral,0.25,0.35,0.1,0.14,0.34756679298414617
69,Neutral,0.25,0.4,0.1,0.18666666666666668,0.39029474612365445
70,Neutral,0.25,0.45,0.1,0.19666666666666666,0.3981422858999375
71,Neutral,0.25,0.5,0.1,0.20333333333333334,0.40315091187798274
72,Neutral,0.25,0.55,0.1,0.25333333333333335,0.4356468556430324
73,Neutral,0.25,0.6,0.1,0.23666666666666666,0.4257461153528187
74,Neutral,0.25,0.65,0.1,0.22666666666666666,0.4193747004212345
75,Neutral,0.25,0.7,0.1,0.24,0.4277967197686491
76,Neutral,0.25,0.75,0.1,0.2,0.4006683379765067
