,HCPID,Trial,RunNumber,TrialType,RunTrialNumber,Block,CurrentResponse,QuestionMark.ACC,RT,QuestionMark.OnsetDelay,ConsecSameResp,ConsecLargerGuesses,ConsecSmallerGuesses,ConsecRTLess200,FutureResponse,PastResponse,ResponseSwitch,PreviousFeedback,BlockType,BlockTypeCoded
7105,148032_fnca,1,1,Reward,2,5,2.0,0,743,27,1,0,1,0,2.0,,0.0,,MostlyReward,MostlyReward
7106,148032_fnca,2,1,Reward,3,5,2.0,0,377,13,2,0,2,0,3.0,2.0,1.0,Reward,MostlyReward,MostlyReward
7107,148032_fnca,3,1,Punishment,4,5,3.0,0,296,13,1,1,0,0,3.0,2.0,0.0,Reward,MostlyReward,MostlyReward
7108,148032_fnca,4,1,Reward,5,5,3.0,0,354,13,2,2,0,0,3.0,3.0,0.0,Punishment,MostlyReward,MostlyReward
7109,148032_fnca,5,1,Reward,6,5,3.0,0,331,13,3,3,0,0,3.0,3.0,0.0,Reward,MostlyReward,MostlyReward
7110,148032_fnca,6,1,Reward,7,5,3.0,0,325,13,4,4,0,0,2.0,3.0,1.0,Reward,MostlyReward,MostlyReward
7111,148032_fnca,7,1,Neutral,8,5,2.0,0,434,13,1,0,1,0,2.0,3.0,0.0,Reward,MostlyReward,MostlyReward
7113,148032_fnca,10,1,Reward,10,5,2.0,0,803,14,3,0,3,0,2.0,,0.0,,MostlyPunishment,MostlyPunishment
7114,148032_fnca,11,1,Punishment,11,5,2.0,0,295,14,4,0,4,0,3.0,2.0,1.0,Reward,MostlyPunishment,MostlyPunishment
7115,148032_fnca,12,1,Punishment,12,5,3.0,0,278,13,1,1,0,0,3.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
7116,148032_fnca,13,1,Punishment,13,5,3.0,0,296,13,2,2,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
7117,148032_fnca,14,1,Neutral,14,5,3.0,0,374,13,3,3,0,0,2.0,3.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
7118,148032_fnca,15,1,Punishment,15,5,2.0,0,313,13,1,0,1,0,2.0,3.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
7119,148032_fnca,16,1,Punishment,16,5,2.0,0,614,14,2,0,2,0,3.0,2.0,1.0,Punishment,MostlyPunishment,MostlyPunishment
7121,148032_fnca,19,1,Punishment,18,5,2.0,0,771,14,1,0,1,0,3.0,,1.0,,MostlyPunishment,MostlyPunishment
7122,148032_fnca,20,1,Punishment,19,5,3.0,0,270,13,1,1,0,0,3.0,2.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
7123,148032_fnca,21,1,Punishment,20,5,3.0,0,300,14,2,2,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
7124,148032_fnca,22,1,Neutral,21,5,3.0,0,355,13,3,3,0,0,3.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
7125,148032_fnca,23,1,Punishment,22,5,3.0,0,281,13,4,4,0,0,2.0,3.0,1.0,Neutral,MostlyPunishment,MostlyPunishment
7126,148032_fnca,24,1,Neutral,23,5,2.0,0,252,13,1,0,1,0,2.0,3.0,0.0,Punishment,MostlyPunishment,MostlyPunishment
7127,148032_fnca,25,1,Punishment,24,5,2.0,0,301,14,2,0,2,0,2.0,2.0,0.0,Neutral,MostlyPunishment,MostlyPunishment
7129,148032_fnca,28,1,Reward,26,5,2.0,0,656,13,4,0,4,0,2.0,,0.0,,MostlyReward,MostlyReward
7130,148032_fnca,29,1,Reward,27,5,2.0,0,332,13,5,0,5,0,3.0,2.0,1.0,Reward,MostlyReward,MostlyReward
7131,148032_fnca,30,1,Punishment,28,5,3.0,0,327,13,1,1,0,0,3.0,2.0,0.0,Reward,MostlyReward,MostlyReward
7132,148032_fnca,31,1,Reward,29,5,3.0,0,354,13,2,2,0,0,2.0,3.0,1.0,Punishment,MostlyReward,MostlyReward
7133,148032_fnca,32,1,Punishment,30,5,2.0,0,278,13,1,0,1,0,2.0,3.0,0.0,Reward,MostlyReward,MostlyReward
7134,148032_fnca,33,1,Reward,31,5,2.0,0,348,14,2,0,2,0,3.0,2.0,1.0,Punishment,MostlyReward,MostlyReward
7135,148032_fnca,34,1,Reward,32,5,3.0,0,425,13,1,1,0,0,3.0,2.0,0.0,Reward,MostlyReward,MostlyReward
7137,148032_fnca,1,2,Punishment,2,5,3.0,0,335,26,1,1,0,0,3.0,,0.0,,,MostlyPunishment
7138,148032_fnca,2,2,Punishment,3,5,3.0,0,358,13,2,2,0,0,3.0,3.0,0.0,Punishment,,MostlyPunishment
7139,148032_fnca,3,2,Reward,4,5,3.0,0,340,13,3,3,0,0,3.0,3.0,0.0,Punishment,,MostlyPunishment
7140,148032_fnca,4,2,Punishment,5,5,3.0,0,306,13,4,4,0,0,3.0,3.0,0.0,Reward,,MostlyPunishment
7141,148032_fnca,5,2,Reward,6,5,3.0,0,263,13,5,5,0,0,3.0,3.0,0.0,Punishment,,MostlyPunishment
7142,148032_fnca,6,2,Punishment,7,5,3.0,0,288,14,6,6,0,0,3.0,3.0,0.0,Reward,,MostlyPunishment
7143,148032_fnca,7,2,Punishment,8,5,3.0,0,400,13,7,7,0,0,2.0,3.0,1.0,Punishment,,MostlyPunishment
7145,148032_fnca,10,2,Reward,10,5,2.0,0,798,13,2,0,2,0,3.0,,1.0,,,MostlyReward
7146,148032_fnca,11,2,Neutral,11,5,3.0,0,258,13,1,1,0,0,2.0,2.0,1.0,Reward,,MostlyReward
7147,148032_fnca,12,2,Reward,12,5,2.0,0,256,14,1,0,1,0,2.0,3.0,0.0,Neutral,,MostlyReward
7148,148032_fnca,13,2,Reward,13,5,2.0,0,288,14,2,0,2,0,3.0,2.0,1.0,Reward,,MostlyReward
7149,148032_fnca,14,2,Reward,14,5,3.0,0,251,13,1,1,0,0,2.0,2.0,1.0,Reward,,MostlyReward
7150,148032_fnca,15,2,Reward,15,5,2.0,0,243,14,1,0,1,0,3.0,3.0,1.0,Reward,,MostlyReward
7151,148032_fnca,16,2,Neutral,16,5,3.0,0,297,13,1,1,0,0,2.0,2.0,1.0,Reward,,MostlyReward
7153,148032_fnca,19,2,Punishment,18,5,2.0,0,576,13,2,0,2,0,3.0,,1.0,,,MostlyPunishment
7154,148032_fnca,20,2,Punishment,19,5,3.0,0,329,14,1,1,0,0,2.0,2.0,1.0,Punishment,,MostlyPunishment
7155,148032_fnca,21,2,Reward,20,5,2.0,0,306,14,1,0,1,0,3.0,3.0,1.0,Punishment,,MostlyPunishment
7156,148032_fnca,22,2,Punishment,21,5,3.0,0,307,14,1,1,0,0,3.0,2.0,0.0,Reward,,MostlyPunishment
7157,148032_fnca,23,2,Reward,22,5,3.0,0,280,13,2,2,0,0,2.0,3.0,1.0,Punishment,,MostlyPunishment
7158,148032_fnca,24,2,Punishment,23,5,2.0,0,283,13,1,0,1,0,3.0,3.0,1.0,Reward,,MostlyPunishment
7159,148032_fnca,25,2,Punishment,24,5,3.0,0,470,14,1,1,0,0,3.0,2.0,0.0,Punishment,,MostlyPunishment
7161,148032_fnca,28,2,Reward,26,5,2.0,0,538,14,1,0,1,0,2.0,,0.0,,MostlyReward,MostlyReward
7162,148032_fnca,29,2,Reward,27,5,2.0,0,328,14,2,0,2,0,2.0,2.0,0.0,Reward,MostlyReward,MostlyReward
7163,148032_fnca,30,2,Punishment,28,5,2.0,0,907,13,3,0,3,0,3.0,2.0,1.0,Reward,MostlyReward,MostlyReward
7164,148032_fnca,31,2,Reward,29,5,3.0,0,350,13,1,1,0,0,3.0,2.0,0.0,Punishment,MostlyReward,MostlyReward
7165,148032_fnca,32,2,Punishment,30,5,3.0,0,311,13,2,2,0,0,3.0,3.0,0.0,Reward,MostlyReward,MostlyReward
7166,148032_fnca,33,2,Reward,31,5,3.0,0,308,14,3,3,0,0,2.0,3.0,1.0,Punishment,MostlyReward,MostlyReward
7167,148032_fnca,34,2,Reward,32,5,2.0,0,341,14,1,0,1,0,2.0,3.0,0.0,Reward,MostlyReward,MostlyReward
