,HCPID,ans,bll,lf,LL
100,148335_fnca,0.35,0.65,0.1,-1.894756301426662
112,148335_fnca,0.4,0.6,0.1,-1.9035171476705988
71,148335_fnca,0.25,0.5,0.1,-1.9104731357094145
118,148335_fnca,0.45,0.25,0.1,-1.91214146451113
116,148335_fnca,0.4,0.8,0.1,-1.9134244473938984
106,148335_fnca,0.4,0.3,0.1,-1.914913752863567
92,148335_fnca,0.35,0.25,0.1,-1.9169911745674861
131,148335_fnca,0.5,0.25,0.1,-1.9173377845523922
99,148335_fnca,0.35,0.6,0.1,-1.9202794699499077
110,148335_fnca,0.4,0.5,0.1,-1.9205303069027635
94,148335_fnca,0.35,0.35,0.1,-1.920590554656871
91,148335_fnca,0.35,0.2,0.1,-1.9212342562941833
104,148335_fnca,0.4,0.2,0.1,-1.9229661670951739
96,148335_fnca,0.35,0.45,0.1,-1.9232845696049354
120,148335_fnca,0.45,0.35,0.1,-1.9236584093366804
122,148335_fnca,0.45,0.45,0.1,-1.9236871697370796
86,148335_fnca,0.3,0.6,0.1,-1.9247355216768163
109,148335_fnca,0.4,0.45,0.1,-1.9256664354493649
97,148335_fnca,0.35,0.5,0.1,-1.9261803508960231
124,148335_fnca,0.45,0.55,0.1,-1.9263247153313177
126,148335_fnca,0.45,0.65,0.1,-1.9267288588330478
80,148335_fnca,0.3,0.3,0.1,-1.9269991423069799
81,148335_fnca,0.3,0.35,0.1,-1.9282752656825357
141,148335_fnca,0.5,0.75,0.1,-1.9296389893209351
123,148335_fnca,0.45,0.5,0.1,-1.9305355942922429
101,148335_fnca,0.35,0.7,0.1,-1.9314414316497581
111,148335_fnca,0.4,0.55,0.1,-1.9315156742761461
113,148335_fnca,0.4,0.65,0.1,-1.9318499507301818
93,148335_fnca,0.35,0.3,0.1,-1.932008321706408
78,148335_fnca,0.3,0.2,0.1,-1.9321226964798606
66,148335_fnca,0.25,0.25,0.1,-1.9327958134405172
114,148335_fnca,0.4,0.7,0.1,-1.93321814549048
89,148335_fnca,0.3,0.75,0.1,-1.933386779343933
102,148335_fnca,0.35,0.75,0.1,-1.9345372873778848
115,148335_fnca,0.4,0.75,0.1,-1.9345866181163478
83,148335_fnca,0.3,0.45,0.1,-1.9348253335524694
128,148335_fnca,0.45,0.75,0.1,-1.9368038527871594
87,148335_fnca,0.3,0.65,0.1,-1.9375492926600937
69,148335_fnca,0.25,0.4,0.1,-1.9379315658129541
105,148335_fnca,0.4,0.25,0.1,-1.9385529130261951
72,148335_fnca,0.25,0.55,0.1,-1.9406651849102796
137,148335_fnca,0.5,0.55,0.1,-1.9410994092917746
84,148335_fnca,0.3,0.5,0.1,-1.9417468866084358
98,148335_fnca,0.35,0.55,0.1,-1.9427297147308185
103,148335_fnca,0.35,0.8,0.1,-1.943143594589063
121,148335_fnca,0.45,0.4,0.1,-1.9444188722132543
129,148335_fnca,0.45,0.8,0.1,-1.944782546212374
107,148335_fnca,0.4,0.35,0.1,-1.9451072247511791
88,148335_fnca,0.3,0.7,0.1,-1.9456808036168947
125,148335_fnca,0.45,0.6,0.1,-1.947229069448292
108,148335_fnca,0.4,0.4,0.1,-1.9495419554452473
75,148335_fnca,0.25,0.7,0.1,-1.9498602017268938
82,148335_fnca,0.3,0.4,0.1,-1.951321822055228
95,148335_fnca,0.35,0.4,0.1,-1.951377569408419
127,148335_fnca,0.45,0.7,0.1,-1.9514034369902014
43,148335_fnca,0.15,0.4,0.1,-1.9520952345003293
65,148335_fnca,0.25,0.2,0.1,-1.9524180270255838
130,148335_fnca,0.5,0.2,0.1,-1.9533704319981573
117,148335_fnca,0.45,0.2,0.1,-1.9558448084975348
138,148335_fnca,0.5,0.6,0.1,-1.9579701091372332
119,148335_fnca,0.45,0.3,0.1,-1.9581690633897657
90,148335_fnca,0.3,0.8,0.1,-1.958355016110739
133,148335_fnca,0.5,0.35,0.1,-1.960887673693601
132,148335_fnca,0.5,0.3,0.1,-1.9609321956210588
76,148335_fnca,0.25,0.75,0.1,-1.9612764560096645
134,148335_fnca,0.5,0.4,0.1,-1.9614332439453754
68,148335_fnca,0.25,0.35,0.1,-1.9623213724203397
77,148335_fnca,0.25,0.8,0.1,-1.9671654821647828
39,148335_fnca,0.15,0.2,0.1,-1.9701783295591642
135,148335_fnca,0.5,0.45,0.1,-1.9707336923067922
140,148335_fnca,0.5,0.7,0.1,-1.9762280172863702
142,148335_fnca,0.5,0.8,0.1,-1.976361643475286
60,148335_fnca,0.2,0.6,0.1,-1.9814411194931911
136,148335_fnca,0.5,0.5,0.1,-1.9860876330441473
67,148335_fnca,0.25,0.3,0.1,-1.989271077938849
61,148335_fnca,0.2,0.65,0.1,-1.9900220956339625
34,148335_fnca,0.1,0.6,0.1,-1.9904078047861256
85,148335_fnca,0.3,0.55,0.1,-1.9922671742502671
58,148335_fnca,0.2,0.5,0.1,-1.9948183069776497
139,148335_fnca,0.5,0.65,0.1,-1.996873209767581
0,148335_fnca,0.0,0.2,0.1,-1.9983947148809253
36,148335_fnca,0.1,0.7,0.1,-1.9984833671758924
5,148335_fnca,0.0,0.45,0.1,-1.998642725890798
54,148335_fnca,0.2,0.3,0.1,-2.000667210668194
57,148335_fnca,0.2,0.45,0.1,-2.008169697487579
50,148335_fnca,0.15,0.75,0.1,-2.0082570982805596
79,148335_fnca,0.3,0.25,0.1,-2.011484552178386
52,148335_fnca,0.2,0.2,0.1,-2.025182662006821
2,148335_fnca,0.0,0.3,0.1,-2.029096688733058
8,148335_fnca,0.0,0.6,0.1,-2.031440986607283
51,148335_fnca,0.15,0.8,0.1,-2.03561479824364
73,148335_fnca,0.25,0.6,0.1,-2.0415081913505864
70,148335_fnca,0.25,0.45,0.1,-2.0434280040337467
38,148335_fnca,0.1,0.8,0.1,-2.0467672846554312
53,148335_fnca,0.2,0.25,0.1,-2.052274431978727
74,148335_fnca,0.25,0.65,0.1,-2.056564789443932
26,148335_fnca,0.1,0.2,0.1,-2.0603497299173426
32,148335_fnca,0.1,0.5,0.1,-2.0657840391870153
63,148335_fnca,0.2,0.75,0.1,-2.066877157474746
45,148335_fnca,0.15,0.5,0.1,-2.0669293444508856
28,148335_fnca,0.1,0.3,0.1,-2.0674106592970127
48,148335_fnca,0.15,0.65,0.1,-2.0723574855888827
3,148335_fnca,0.0,0.35,0.1,-2.0857410053054575
27,148335_fnca,0.1,0.25,0.1,-2.0897135932750217
55,148335_fnca,0.2,0.35,0.1,-2.094080166299286
30,148335_fnca,0.1,0.4,0.1,-2.0997794657778397
47,148335_fnca,0.15,0.6,0.1,-2.1104799556484597
59,148335_fnca,0.2,0.55,0.1,-2.1110884667995986
7,148335_fnca,0.0,0.55,0.1,-2.1128125374070628
31,148335_fnca,0.1,0.45,0.1,-2.126541374463359
18,148335_fnca,0.05,0.45,0.1,-2.131114279587144
56,148335_fnca,0.2,0.4,0.1,-2.135083181721808
35,148335_fnca,0.1,0.65,0.1,-2.1402620371420373
9,148335_fnca,0.0,0.65,0.1,-2.140978309487222
46,148335_fnca,0.15,0.55,0.1,-2.14132186818717
