,TrialType,egs,alpha,r,ResponseSwitch_mean,ResponseSwitch_std
0,Neutral,0.0,0.05,1,0.0,0.0
1,Neutral,0.0,0.1,1,0.0,0.0
2,Neutral,0.0,0.15,1,0.0,0.0
3,Neutral,0.0,0.2,1,0.0,0.0
4,Neutral,0.0,0.25,1,0.0,0.0
5,Neutral,0.0,0.3,1,0.0,0.0
6,Neutral,0.0,0.35,1,0.0,0.0
7,Neutral,0.0,0.4,1,0.0,0.0
8,Neutral,0.0,0.45,1,0.0,0.0
9,Neutral,0.0,0.5,1,0.0,0.0
10,Neutral,0.05,0.05,1,0.16666666666666666,0.37330068339472067
11,Neutral,0.05,0.1,1,0.14333333333333334,0.35099794026335734
12,Neutral,0.05,0.15,1,0.016666666666666666,0.12823299585640938
13,Neutral,0.05,0.2,1,0.0,0.0
14,Neutral,0.05,0.25,1,0.006666666666666667,0.08151300584956359
15,Neutral,0.05,0.3,1,0.08666666666666667,0.28181605677298177
16,Neutral,0.05,0.35,1,0.03666666666666667,0.18825609351281192
17,Neutral,0.05,0.4,1,0.02666666666666667,0.16137646493112862
18,Neutral,0.05,0.45,1,0.03333333333333333,0.1798054194170132
19,Neutral,0.05,0.5,1,0.05333333333333334,0.22507276167731272
20,Neutral,0.1,0.05,1,0.2733333333333333,0.44641517737511843
21,Neutral,0.1,0.1,1,0.21333333333333335,0.4103455867405103
22,Neutral,0.1,0.15,1,0.10333333333333333,0.3049023456071545
23,Neutral,0.1,0.2,1,0.07,0.25557332754516526
24,Neutral,0.1,0.25,1,0.06,0.2378836454288983
25,Neutral,0.1,0.3,1,0.11333333333333333,0.3175294822993922
26,Neutral,0.1,0.35,1,0.09,0.28665992577177263
27,Neutral,0.1,0.4,1,0.08666666666666667,0.2818160567729817
28,Neutral,0.1,0.45,1,0.06333333333333334,0.24396849039011773
29,Neutral,0.1,0.5,1,0.1,0.30050125348238
30,Neutral,0.15,0.05,1,0.3433333333333333,0.47561495720165836
31,Neutral,0.15,0.1,1,0.25,0.43373619897468013
32,Neutral,0.15,0.15,1,0.21,0.40798878599580124
33,Neutral,0.15,0.2,1,0.14666666666666667,0.35436441131823415
34,Neutral,0.15,0.25,1,0.09333333333333334,0.2913850368290184
35,Neutral,0.15,0.3,1,0.11333333333333333,0.3175294822993921
36,Neutral,0.15,0.35,1,0.13333333333333333,0.34050261230349965
37,Neutral,0.15,0.4,1,0.12,0.32550449652428004
38,Neutral,0.15,0.45,1,0.10666666666666667,0.3092047555018716
39,Neutral,0.15,0.5,1,0.08666666666666667,0.28181605677298177
40,Neutral,0.2,0.05,1,0.36,0.4808020055718079
41,Neutral,0.2,0.1,1,0.3233333333333333,0.4685302810952919
42,Neutral,0.2,0.15,1,0.21666666666666667,0.41266191376532896
43,Neutral,0.2,0.2,1,0.13,0.33686534530812934
44,Neutral,0.2,0.25,1,0.10666666666666667,0.30920475550187143
45,Neutral,0.2,0.3,1,0.19,0.3929563789010982
46,Neutral,0.2,0.35,1,0.14,0.3475667929841461
47,Neutral,0.2,0.4,1,0.12333333333333334,0.3293688434044333
48,Neutral,0.2,0.45,1,0.16333333333333333,0.3702871825318563
49,Neutral,0.2,0.5,1,0.13,0.3368653453081293
50,Neutral,0.25,0.05,1,0.41,0.4926550822840808
51,Neutral,0.25,0.1,1,0.2866666666666667,0.4529600404188835
52,Neutral,0.25,0.15,1,0.27,0.44470124502233505
53,Neutral,0.25,0.2,1,0.19,0.39295637890109825
54,Neutral,0.25,0.25,1,0.19333333333333333,0.39557192271742875
55,Neutral,0.25,0.3,1,0.17,0.37626042358254347
56,Neutral,0.25,0.35,1,0.16333333333333333,0.3702871825318562
